text,offline_crime,online_crime,drugs,gambling,pornography,prostitution,slavery,suicide,terrorism,weapons,body_shaming,health_shaming,politics,racism,religion,sexual_minorities,sexism,social_injustice
Нет баб с членами есть только мужики с сиськами,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Баба зарабатывает постоянно пиздит какое я ничтожество. Я ей ною на то что я мизантроп вылизываю ей писечку и мне нормасно,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Если вы ответите - мажоры. Пиздешь. Или вы хотите сказать, соотношение мажоров к таким бабам 1:1?Почему их трахает кто-то другой, а не ты, анон?Почему?",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Где моя роскошная жизнь на зарплату кВ пизде твоей мамаши шлюхи, мерзкая потреблядь.",0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Ты нищий. Не можешь себе позволить женщину. Или больше зарабатывай или дрочи в кулачок, неудачник.",0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Хикка, которая выпилилась после того, как ее муж бросил или что то такое?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"конечно хорошо, бабёнки то не умеет выбирать мужика. если бы умели, не было столько разведнок, брошенок и РСПх.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Какие саморазвиванцы, ты че вообще поехавший?Зачем ты делишь людей на какие-то категории?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Девушка натянула на себя маску жертвы. Это ее выбор, ну нравится ей, когда ее унижают. Только потом она будет унижать своих детей....",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"В рашке у баб по закону больше прав, чем у мужиков, у них пенсия раньше и сапоги они не защищают.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"потому что они при бабле.Женщины смотрят на «денежных мешков», захлебываясь слюнями. У них это в инстинктах сидит, что качественный самец, от которого можно родить потомство, должен быть при бабках.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"А зарабатываешь чем? Аль живешь на шее жены и инвалидную пенсию, кек?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Почему бабы считают вполне нормальным заявлять, что мужчина- это ""добытчик"" для неё, а когда мужчина в ответ заявляет,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ты видила что б прокурор влюбился в уборщицу ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"С виду здравый Галкин, материально обеспечен и самодостаточен, что он нашёл в Алле если мог женится на любой красотке?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Типа смотрите мы такие успешные светские лвитсы ходим по кафешкам жрем, можем себе позволить а вы нам завидуйте нищенки,да. по нищенским лоу-класс понятиям тратить деньги на оверпрайс низкого еачества=успех.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Мужчины любят деньги. Женщины ищут себе мужчин с деньгами.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
обвиняют своих мамок и баб с которыми они не общаются в своей омежности и неумению постоять за себя.И они правы. Во всех бедах мужчин виноваты женщины.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"У ерохи в % случаев, даже если он живёт в нищите и держит таз, после женидьбы каким-то боком все равно выходит дармовая квартира.На моей примете уже 4 таких случая",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Все годные тянки хотят быть бизнес-леди,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"эта зависть нищенкиКаково это, когда набранные с улицы хеллоу вролдщики и студиолухи без знаний с первого дня получают больше твоего потолка?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
На %.В нашей стране принято всю зарплату отдавать женщине.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Измена Почему если изменила жена, то виноват муж, а если изменил муж, значит он опять виноват",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Феминистки - на хуй с двача,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Сколько должен зарабатывать мужчина в месяц? Вопрос к женщинам. Чтобы Вам хватило. 15. рублей хватит?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
женщины завидуют своим подругам у которых побогаче мужья,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Женщины ближе к природе а потому и спрос с них другой : возьмите тоже определение ребёнка после развода - при одинаковых правах на ребёнка почти всегда  исключения редки и там уже просто нет выбора отдают женщине.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Живи в чужих домах, выходи замуж за богатых симов, забирай имущество",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Сама на работу устройся людей любят не за деньги! А вообще зачем сюда писать и унижать себя?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Без разницы, голодная ли святая ли все равно мозги жрать мужику будет",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Конечно. Жить с бабой на постоянку удел убогих неудачников.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Ебаные бабы, нахуя она пошла на мужскую работу?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
То есть как злобный старикашка с молодухой женой? ;,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Тебе общество должно тянку искать и бабло за просто так платить, ничтожество?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Переедет в ДС к какой-нибудь москвичке, заарканит её, а потом разжиреет на декрете.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.84,1.0
"а если природа дает тебе мало теста? у тебя руки спички, борода не растет, лицо в 25 как в 14 и ты омеган, тянкам ты такой не нравишься",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.84,1.0
А зачем мне самой платить если я сама могу деньги брать 😁,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0
"Ты от зависти и злобы поехал вообще.Люди живут ништяк, хаты покупают, машины, рестораны и центры развлечений забиты, маргиналы с доходом меньше 50к в месяц - это блять 5% населения.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0
"только я не высокий На такого карлана ни одна баба внимания не обратит, даже за деньги.Мимо высокий",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0
Как может хвтатать нищенской зп?С мамкой живеш?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,1.0
"просить милостыню, жениться на богатой бабушке",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,1.0
чтобы жить в россиии где одни меркантильные люди99%алчныелицемерыне знать что такое спонсор это врятли ты найдешь такого человекаособенно среди баб эскортниц,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0
это так не работает куча норм девок с нищими парнями либо эти девки уже ебутся за бабки в тематических группах,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0
"Я кун 22 лвл. Рост см, вес 70 кг и ниибет. Я ваш царь.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,1.0
Вместо хиппи - феменистки. Перевороты в Европе из-за беженцев.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.22,1.0
Если у тебя ко всему нищебродству и малюсенькая пипиркаТо разбегайся сразу.Или учись хорошо лизать. Опушка☺☺☺☺☺☺☺,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0
Нехочу работать по воровскому закону живу,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.0
"Почему эти пидорасы в СШП не лезут, нахуй в ламповую Европку лезть, ведь США - это главный враг исламистов.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
"Дайсы анальные рабы еа, а еа компания трансгендер нигеров геев одноногих мусульман.",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.0,1.0,0.0,1.0
аттеист - хуже свервя-пидорааттеистВсе веруны такие тупые или только ты?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"Пидорахи будут завоевателямиПлиз, самой русни в России меньше, чем татар, кавказцев и всяких азиатов.",0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
ага и беженцы в европу едут потому что они там толерасты и пидоры\их хотят развалить пендосы. все эти межнациональные хуйни отвлекают только вот и всё. решить любой такой конфликт на раз два.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
Ватники и гомофобы! Они уже на Миротворцэ!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
"На стороне мюслей они будут. Уже не раз доказано.Леваки - жесткие расисты. Хоть гендеры-хуендеры и угнетались, в них течёт кровь ""белых угнетателей"".",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
"Как объяснить самозванному ""креативному классу"", что население России против педерастии не из-за того, что мы ""зашоренные ватники"" и ""противники свободы"", а потому что русские дети рождаются только от писи в писю, а не от писи в попу?",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
"Может ты чего расскажешь? Как там в нигилистической дыре поживается? Права человека? Прогресс? Аккуратные одноэтажные домики в Америке?Уже стал трапом, чтобы больше денег зарабатывать? Анус уже разработал?",0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
"Смысл жизни пидорашек - травить других пидорашек. Не шлюх, так пидоров. Не их, так антисоветчиков. Пидорашки хотят пытать и мучить, больше ничего не хотят.",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"Везет тебе.Трапик-нищеброд, деньги предлагают только за шлюховство.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
То есть если у меня все лучше чем у последних быдлодвучеровских шлюх то я пидарас... Логично,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Что видит промытая чучхе пидораха: Что видят нормальные люди: двух уебищ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"Если лороёб-содомит и любишь принимать РБД В ВЕРЗОХУ выкрикивая ""Сейла!"" то к гомомишкам.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"ЛГБТЛГБТ открыл людям глаза, если ты изначально не гей, то никакое ЛГБТ геем тебя не сделает, это природное",0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Пидор платил бы мне денег за причинение морального ущерба и насилие. Благо, свидетелей много.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Даже пидоры на западе смотрятся успешнее и привлекательные местных. Если у них это веселье, кураж, взаимовыручка, то у нас тлен, грязь безблагодатность",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"Насчет вегана, транснгендера и асексуала пошутиля говно внутри, лол",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Средство передвижения для нищих петухов же.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
А в пидорашке ты платишь 60.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Баба белая натуралка и мужик гей негр получают за час работы официантом одинаковую зарплату толерантность Негров устраивают на работу с большей вероятностью толерастия,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.84,0.0,1.0
"Ну тогда сядешь на бутылочки. Работать он не любит, ха. Представитель народа-раба, народа-пидора не хочет работать!",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,1.0
"Казахи Севера и Юга будут вместе резать урыс дунгызов, и никакая егорка тебе, петух, не поможет.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0
ДРОЧИШЬ НА ЖИРНЫХ ШЛЮХ С ЦЕЛЛЮЛЕМnikname ЛОЛЮ,0.0,0.0,0.0,0.0,1.0,0.83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.71,0.0,1.0
"(OP)>травим шлюхДа ты охуел, пидор несчастный! Жрицы любви это очень благородная и тяжелая профессия, их наоборот поддерживать надо. Сука, левацкие выродки.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,1.0
"Причем тут мода, деревенщины? У шлюхи просто напрочь отсутствует элементарный вкус.",0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.0
Заставь тогда рабыню саму придумывать тебе унижения.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,1.0
РАБЫНЯ-БИБЛИОТЕКАРША НЕ МОГЛА НЕ ОТСОСАТЬ БАРИНАМ,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,1.0
"А ты, пидор, не Путай победы русского и советских народов.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.19,0.0,1.0
"Или наоборот усиливает те течения Ислама, которые с Игил ничего общего не имеют.Поддерживал террористов, потому что те вначале резали Курдов и расшатывали Сирию.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
украинский национализм это религия рагулейрагули это польский раб и недочеловекирагули любят популистический национал-коммунизм лол,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
"Это зрадники-сепары или просто православные?Хер знает, я даже не вникаю.Как власти и общество к ним относится?Бугуртят, насылают на них атошных рагулей.Почему правосеки хотят их убить?Странный вопрос.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
все еще ждем не антисемитски перекот,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
"ИСЛАМИСТЫ. Они поддерживают ИСЛАМ, а не Эрдогана",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
чистые от исламских мигрантов страны гейропы,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
"Эх, сейчас бы потроллить к пизданутых верян. А ещё лучше разжечь религиозную войнушку на украине. МММ...",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
С чем связан этот агрессивный антиисламский форс? Теперь мусульман будут винить во всех грехах?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
"соответствуют шариатуШариат - миф, муслам даже хуже русского православия, любой хуй трактует как хочет и все слушаются.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
а сколько христианство вообще людей сожгло и порубало из за жидовских сказок,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"Там всё намного интересней. Главные враги для евреев не мусульмане, а ...арабы. Евреи - самый беспощадный и мстительный народ на планете Земля. Евреям по фигу вероисповедание, для них главное - НАЦИОНАЛЬНОСТЬ!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Это иудейский мировой заговор против отступнииков. И именно еврейские чины бредят о создании мирового правительства с Мошиахом антихристом во главе.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"фотки элиток на заднем дворе и туристов в отеляхХристианство =/= Ислам даже близко, мань. Иранцы не менее фимозные бабази, чем саудиты.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Хохлы не муслимы. Муслимы злые и готовы нести большие жертвы.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"Проблема России в нынешнем православии, которое учит терпеть все и вся, ты главное  денежку  заноси. Если все вернуть к старообрядцем, то  варвары  будут сидеть тихо.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Македониямусульманевот уже и братушек в бабахи записали,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ты неХРИСТ по Факту - вот и отвечаи что ты неХРИСТ !,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
А мамке с папкой Аллах деньги даёт?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"Жид Исус готов даже простить своим братьям по разуму-жидам даже то, что они распяли его. ""Прости их отче не ведают что творят блабла"".Христота - насмешка над гоями, все места в царстве небесном уже забиты жидами и детьми жидов",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,0.0,0.0,0.0
"Все течения ислама - террористическая хуита, безщ исключений.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0
